SUBJECT,TIME,FP1,FP2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,PZ,T5',T6',O1',O2',"P3""","P4""","PZ""",OZ,I,"CB1""","CB2""",CB1,CB2
CBA,15,-19.9952,-31.9666,-28.2437,74.909,-63.3288,15.6321,36.5299,44.2724,-10.105,-41.655,-19.57,94.6348,28.7208,48.0819,-32.4539,5.285,-29.866,38.8323,24.329,-29.2626,-3.1258,-30.1153,-24.6631,-31.8415,35.2015,-0.439,12.5454,-21.3437,49.0873,-19.0846,14.3027
CBA,16,-20.6876,-32.7484,-29.277,73.6838,-63.5037,15.3715,36.4431,44.5328,-9.5005,-41.393,-19.4845,95.1533,28.8928,47.996,-32.103,6.342,-30.4846,38.7456,25.8009,-27.9601,-2.0838,-28.5576,-24.142,-31.1339,35.2884,-0.0878,13.7567,-20.0369,51.244,-17.3417,17.1806
CBA,17,-21.1204,-33.5302,-30.2242,73.1588,-63.7661,15.4584,36.4431,44.9668,-8.9822,-39.9958,-19.4845,95.8447,29.1508,48.3395,-32.1907,7.4871,-31.2798,38.8323,26.6667,-26.3971,-1.3892,-26.4807,-23.7078,-30.0725,35.6361,0.9658,13.4971,-19.4271,50.295,-16.2089,18.9249
CBA,18,-21.2935,-34.2252,-30.7409,72.9838,-63.8536,15.8057,36.3564,45.4009,-8.7231,-37.8126,-19.57,96.4497,29.3227,48.9405,-32.6293,8.4561,-31.81,38.9189,26.8398,-25.0078,-1.1287,-24.1441,-23.5341,-28.9227,36.1576,2.1072,11.7667,-19.7756,46.3266,-15.9474,19.6225
CBA,19,-21.3801,-34.8332,-30.9131,72.8962,-63.7661,16.24,36.0961,45.5745,-8.8959,-35.4548,-19.9118,96.9682,29.2367,49.6274,-33.1556,8.8965,-31.9867,38.8323,26.4935,-24.2263,-1.3892,-22.1538,-23.7078,-28.1267,36.6791,2.9852,9.2577,-20.6468,40.8917,-16.5574,19.0993
CBA,0,65.5252,-37.4392,43.8294,1.8377,47.6715,8.7713,11.0197,-5.2953,11.4869,11.6145,32.4742,-42.6073,22.9594,39.8393,13.5955,68.0889,27.0385,30.7711,-27.2727,-2.3445,42.9792,6.4038,53.9287,68.017,61.7112,74.1027,41.5297,44.604,76.1758,18.9103,29.9135
CBA,1,67.4295,-39.4371,44.5183,2.9754,47.4966,9.0319,10.2388,-6.5106,5.0957,7.0735,33.1579,-44.2493,22.7015,39.7534,17.7181,66.5034,28.0105,29.3842,-26.3203,7.0334,37.5959,1.0385,51.1498,65.5404,59.4514,69.5371,35.9059,35.1953,65.9098,14.1174,23.6343
CBA,2,69.6801,-40.827,45.2933,4.5505,47.1467,8.8582,9.4579,-9.0281,-1.2091,0.8733,34.0979,-45.5457,21.2396,39.5817,21.2266,61.923,28.8057,27.824,-27.1861,11.5487,32.9941,-7.3557,48.4577,61.5602,56.5831,64.2692,30.6281,25.7867,56.5927,8.6273,16.4829
CBA,3,71.6709,-41.0007,46.0683,6.3008,46.7968,8.5976,8.3299,-11.8928,-6.4776,-6.8988,35.0379,-45.7185,19.0039,40.2686,22.8054,57.5188,29.7777,26.0904,-31.6883,11.6356,29.4342,-19.5576,45.7656,56.4302,53.4541,58.7378,25.783,17.859,49.2598,3.6601,9.1572
CBA,4,72.45,-40.5664,46.2405,7.7884,46.0096,8.8582,6.6812,-14.063,-9.7596,-15.1949,34.7816,-44.6814,16.3382,43.6171,21.7529,56.638,30.6613,24.5302,-40.0866,12.8512,26.6558,-32.2787,43.334,51.4771,50.6727,53.6454,21.7166,12.632,44.0836,0.61,1.3954
